date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,5.801436887176033,0.0,8.223010961806413,0.0,-4.693565894768734,5.375894949599671,6.029931825840659,0.0,2.1780505238110663,6.1867704928760965,0.0,-2.035236970642016,0.0,0.2550426772813008,0.0,0.0,0.0,2.7670652861099754,0.0,0.0,7.801971410738048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3694044380629418,0.0,0.0,-9.363173865177963,0.0,0.0,-6.370701681699183,0.0,0.0,0.0,0.0,0.0,8.272918237284593,0.0,-6.597462246581836,-2.1761338585739454,0.0,0.0,-0.8646585959709263,0.0,-3.277878013803319,0.0,0.0,0.0,-8.236854101478478,0.0,0.0,-9.743417814947733,0.0,-5.417404710394315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.473267022384828,0.0,0.0,2.776016784862028,9.281183446077637,0.0,-5.332536318276809,-6.448205388521899,0.0,0.0,0.0,-1.1100015970185169,-9.117402879871122,-6.136460599152926,-2.9590493910064763,-1.3146283277469255,0.0,-7.827583310367967,0.0,0.0,0.0,0.0,-2.8987710614424174,-1.3359937224567773,0.7160203721312897
1,-2.255883828050779,0.0,9.458426444822257,0.0,0.9920456085524556,2.741453910875606,1.096597315985842,0.0,2.6337062569889453,3.0777565481737175,0.0,2.496573848918856,0.0,3.3657458055978857,0.0,0.0,0.0,5.571816505007989,0.0,0.0,7.568656248313871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2576763172144863,0.0,0.0,-5.085586880461325,0.0,0.0,-0.9820866852720291,0.0,0.0,0.0,0.0,0.0,10.933214575303886,0.0,-9.342068756914307,-9.3574024417514,0.0,0.0,0.36672504327122835,0.0,-8.510786310212563,0.0,0.0,0.0,-6.077344657070682,0.0,0.0,-12.235624593346351,0.0,-4.878905510486996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.359079218133978,0.0,0.0,11.05260926426148,11.468851656628406,0.0,-5.604979671133831,1.831158442619083,0.0,0.0,0.0,3.125124529031255,-15.264725392179827,-10.23674091028618,-6.797337626364291,-2.6549684701408736,0.0,-15.188623810198939,0.0,0.0,0.0,0.0,-9.819215165146304,-9.606623294014177,-6.461996521596646
2,-2.9053410359363188,0.0,9.558006630163737,0.0,1.4503321162609843,2.529105813807132,0.6989478032538061,0.0,2.670434210447158,2.8271556862783034,0.0,2.8618587004918306,0.0,3.616482823482674,0.0,0.0,0.0,5.79789238802412,0.0,0.0,7.549849970234483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874612919409135,0.0,0.0,-4.740793642390079,0.0,0.0,-0.5477394656887249,0.0,0.0,0.0,0.0,0.0,11.147646728733378,0.0,-9.56329669904852,-9.93624580767236,0.0,0.0,0.46598024341074895,0.0,-8.932582851696186,0.0,0.0,0.0,-5.903278236763363,0.0,0.0,-12.436507953085696,0.0,-4.835499991558169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.914107436661276,0.0,0.0,11.719740787562884,11.645187803347651,0.0,-5.626939861811001,2.4985133496515974,0.0,0.0,0.0,3.4664952260756694,-15.760227936502158,-10.567242412774986,-7.106721359307237,-2.7630060669130874,0.0,-15.781957621662842,0.0,0.0,0.0,0.0,-10.377034875167979,-10.273274179444154,-7.040577786352041
3,4.450173225324014,0.0,8.43019795466545,0.0,-3.740052873333856,4.934082519545581,5.202580415795701,0.0,2.254466873155859,5.665369183911412,0.0,-1.275223623861883,0.0,0.776727273025393,0.0,0.0,0.0,3.237439810915689,0.0,0.0,7.762842981836479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.015254271491939,0.0,0.0,-8.645795463951442,0.0,0.0,-5.466996853539331,0.0,0.0,0.0,0.0,0.0,8.719066764614533,0.0,-7.057750123231208,-3.380478035182046,0.0,0.0,-0.6581477688218322,0.0,-4.155469843228556,0.0,0.0,0.0,-7.874690704638645,0.0,0.0,-10.16137665964249,0.0,-5.327094987536192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.628061293496495,0.0,0.0,4.164053708877576,9.648069246157506,0.0,-5.378226792274337,-5.059703691285215,0.0,0.0,0.0,-0.39974415043627864,-10.148347758715229,-6.824103549416907,-3.602754612563755,-1.539411849832098,0.0,-9.06207637479883,0.0,0.0,0.0,0.0,-4.05937332263091,-2.723030629100458,-0.4877784755829939
4,13.048033065619439,0.0,7.111902513424336,0.0,-9.807093337485329,7.745259535953347,10.466876099206416,0.0,1.7682426966890084,8.98295664044132,0.0,-6.111058714264126,0.0,-2.5426626888872295,0.0,0.0,0.0,0.24452706494414533,0.0,0.0,8.011810490520583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.268651280941173,0.0,0.0,-13.21035167924047,0.0,0.0,-11.217116292751761,0.0,0.0,0.0,0.0,0.0,5.880299901987891,0.0,-4.129016996348763,4.282558219164023,0.0,0.0,-1.9721408831618168,0.0,1.4284970459905564,0.0,0.0,0.0,-10.179074529366392,0.0,0.0,-7.501975931902894,0.0,-5.901720326225348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.719697376921716,0.0,0.0,-4.667788116487385,7.313637576354483,0.0,-5.087506111656762,-13.894502789257782,0.0,0.0,0.0,-4.918990947815902,-3.588621613764926,-2.448748928814065,0.4930317462807654,-0.10915269918832493,0.0,-1.2072078976535332,0.0,0.0,0.0,0.0,3.325340596451304,6.102448256563013,7.171787944171745
5,14.983405798844496,0.0,6.815155055486562,0.0,-11.17278025304319,8.378053678552167,11.65186567970153,0.0,1.6587939465525539,9.729743448172862,0.0,-7.199602090195205,0.0,-3.2898552394238414,0.0,0.0,0.0,-0.42917567376856525,0.0,0.0,8.06785291697512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7758895018737295,0.0,0.0,-14.237830354449926,0.0,0.0,-12.511464488948539,0.0,0.0,0.0,0.0,0.0,5.241295302708258,0.0,-3.469761048712091,6.007502763022377,0.0,0.0,-2.2679198900747393,0.0,2.685444409795789,0.0,0.0,0.0,-10.697789849702403,0.0,0.0,-6.903346534495871,0.0,-6.031068121255348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3736731389360894,0.0,0.0,-6.655830044416817,6.78815850537226,0.0,-5.022065072990964,-15.883210397353649,0.0,0.0,0.0,-5.936270502126787,-2.112031467591515,-1.463859411167073,1.4149906275912159,0.21279771789436097,0.0,0.5609179564675877,0.0,0.0,0.0,0.0,4.987634961227571,8.089057890848427,8.895951430490014
6,8.476918659500713,0.0,7.812783825159099,0.0,-6.581507368031433,6.250676930916387,7.668075201833274,0.0,2.02674729887318,7.219137260061473,0.0,-3.5400519918990634,0.0,-0.777884993476075,0.0,0.0,0.0,1.8357307858106622,0.0,0.0,7.879445112770683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.070616453213123,0.0,0.0,-10.783572334052922,0.0,0.0,-8.16002367973888,0.0,0.0,0.0,0.0,0.0,7.389550848432632,0.0,-5.686099158263778,0.20844953775897723,0.0,0.0,-1.2735469346596358,0.0,-1.5402593613856317,0.0,0.0,0.0,-8.953932192308008,0.0,0.0,-8.91586557467653,0.0,-5.59621660639353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.186791695349365,0.0,0.0,0.0277245053025168,8.554755067700997,0.0,-5.242069865429466,-9.1974179120845,0.0,0.0,0.0,-2.516300682560532,-7.076147490942481,-4.774937876949856,-1.6845227122780104,-0.8695603272994432,0.0,-5.383305568584278,0.0,0.0,0.0,0.0,-0.6007960012141802,1.4103185377134961,3.099524025438096
7,-0.48939408270202645,0.0,9.187573532405807,0.0,-0.25446979919013746,3.319029663921819,2.1781832587626444,0.0,2.5338081384311275,3.7593778272031235,0.0,1.5030180971307803,0.0,2.68375418937601,0.0,0.0,0.0,4.956901889895975,0.0,0.0,7.6198083442057225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7206523116283292,0.0,0.0,-6.02340651187543,0.0,0.0,-2.163488477412696,0.0,0.0,0.0,0.0,0.0,10.349970297610065,0.0,-8.74034028824887,-7.782978665023152,0.0,0.0,0.09675607366068173,0.0,-7.363521708160895,0.0,0.0,0.0,-6.55079624517999,0.0,0.0,-11.689232328109844,0.0,-4.996966258983342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.849431400690007,0.0,0.0,9.238046302449654,10.98922653101311,0.0,-5.545249097408392,0.015987888704970032,0.0,0.0,0.0,2.19661403077254,-13.916984305142908,-9.33779405454241,-5.955830002789265,-2.3611118395684185,0.0,-13.574786777067729,0.0,0.0,0.0,0.0,-8.301974636374819,-7.7933676421541005,-4.888285646373831
8,-3.67194584285229,0.0,9.675548860551633,0.0,1.9912832913167078,2.278454854859208,0.22957118501493667,0.0,2.7137870677676883,2.531352016669685,0.0,3.2930327943495765,0.0,3.9124472085852116,0.0,0.0,0.0,6.064747319409351,0.0,0.0,7.52765145892256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886543271477521,0.0,0.0,-4.333807392198018,0.0,0.0,-0.03504569254973955,0.0,0.0,0.0,0.0,0.0,11.400757661340599,0.0,-9.824429229113697,-10.619499610045487,0.0,0.0,0.5831388685126102,0.0,-9.430462084255053,0.0,0.0,0.0,-5.697814115478618,0.0,0.0,-12.673626191725297,0.0,-4.784265084849142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.569250370069174,0.0,0.0,12.507207962302692,11.853331059079812,0.0,-5.652861181228981,3.28624420156671,0.0,0.0,0.0,3.8694415851537665,-16.345108091352238,-10.95735901695551,-7.471911019189292,-2.89053123717469,0.0,-16.482315622854152,0.0,0.0,0.0,0.0,-11.03547282289256,-11.060174019957552,-7.723522210353535
9,1.855286790242661,0.0,8.828067543312828,0.0,-1.9089831311018877,4.08565218432412,3.6137839347087963,0.0,2.401212289266187,4.664101095334418,0.0,0.18426084221008532,0.0,1.7785393686987638,0.0,0.0,0.0,4.140719095547153,0.0,0.0,7.687703072247283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351653375844297,0.0,0.0,-7.268184613666541,0.0,0.0,-3.7315758057362016,0.0,0.0,0.0,0.0,0.0,9.575823883364588,0.0,-7.941659608159439,-5.693229021741043,0.0,0.0,-0.2615766486215324,0.0,-5.840745040071057,0.0,0.0,0.0,-7.179213639522699,0.0,0.0,-10.963999987079735,0.0,-5.1536695625681945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.845659586127477,0.0,0.0,6.82955733130418,10.352614933818778,0.0,-5.465968063305135,-2.3933075459846807,0.0,0.0,0.0,0.9641920417245711,-12.128113038396172,-8.144612206753047,-4.8388878667657345,-1.9710727675016955,0.0,-11.432723493883769,0.0,0.0,0.0,0.0,-6.288124934255748,-5.386613877593859,-2.7994822449414025
