Running training with line graph partitions
Simulated graph file doesn't exist, generating file...
Generating graphs...
Graphs generated
Generating line graphs...
1/1000 done, time: 9.05929183959961, etr: 9068.351131439209
2/1000 done, time: 9.100452423095703, etr: 9100.452423095703
3/1000 done, time: 9.406347036361694, etr: 9396.940689325333
4/1000 done, time: 9.44168496131897, etr: 9422.801591396332
5/1000 done, time: 9.332298278808594, etr: 9304.301383972168
6/1000 done, time: 9.458764553070068, etr: 9420.929494857788
7/1000 done, time: 9.280997276306152, etr: 9234.592289924622
8/1000 done, time: 9.468157291412354, etr: 9411.34834766388
9/1000 done, time: 9.53480577468872, etr: 9468.0621342659
10/1000 done, time: 9.521696090698242, etr: 9445.522521972656
11/1000 done, time: 9.238744974136353, etr: 9155.596269369125
12/1000 done, time: 9.28721284866333, etr: 9194.340720176697
13/1000 done, time: 9.464798927307129, etr: 9360.68613910675
14/1000 done, time: 9.332868576049805, etr: 9220.874153137207
15/1000 done, time: 9.396914005279541, etr: 9274.754123210907
16/1000 done, time: 9.556020259857178, etr: 9422.235976219177
17/1000 done, time: 9.618936777114868, etr: 9474.652725458145
18/1000 done, time: 9.46622085571289, etr: 9314.761322021484
19/1000 done, time: 9.448142051696777, etr: 9287.523636817932
20/1000 done, time: 9.545361280441284, etr: 9373.544777393341
21/1000 done, time: 9.633001565933228, etr: 9449.974536180496
22/1000 done, time: 9.555689811706543, etr: 9364.576015472412
23/1000 done, time: 9.549874782562256, etr: 9349.327412128448
24/1000 done, time: 9.645097732543945, etr: 9432.905582427979
25/1000 done, time: 9.449487209320068, etr: 9232.149003505707
26/1000 done, time: 9.548540115356445, etr: 9319.37515258789
27/1000 done, time: 9.797881126403809, etr: 9552.934098243713
28/1000 done, time: 9.494549751281738, etr: 9247.691457748413
29/1000 done, time: 9.65536904335022, etr: 9394.674079179764
30/1000 done, time: 9.622899532318115, etr: 9353.458345413208
31/1000 done, time: 9.617300987243652, etr: 9338.399258613586
32/1000 done, time: 9.598805904388428, etr: 9310.841727256775
33/1000 done, time: 9.858927965164185, etr: 9553.301198244095
34/1000 done, time: 9.629500150680542, etr: 9321.356145858765
35/1000 done, time: 9.541348218917847, etr: 9226.483727693558
36/1000 done, time: 9.74388861656189, etr: 9412.596403598785
37/1000 done, time: 9.859870433807373, etr: 9514.774968624115
38/1000 done, time: 9.665855169296265, etr: 9317.8843832016
39/1000 done, time: 9.580819368362427, etr: 9226.329051733017
40/1000 done, time: 9.528656959533691, etr: 9166.567995071411
41/1000 done, time: 9.542815208435059, etr: 9170.645415306091
